taxonomic_level	taxon	healthy_control_mean	idiopathic_central_precocious_puberty_mean	mean_delta_g2_minus_g1	healthy_control_detected	idiopathic_central_precocious_puberty_detected	p_value	q_value
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group	0.00014162	0.00031598	0.00017436	2	6	0.414967	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__	0.00000000	0.00017149	0.00017149	0	3	0.48288	0.906929
genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerellaceae	0.00001693	0.00018833	0.00017141	1	3	0.64981	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-003	0.00000000	0.00014720	0.00014720	0	1	0.820413	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575	0.00001928	0.00016556	0.00014627	1	6	0.239458	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family_XIII_AD3011_group	0.00005375	0.00019620	0.00014245	5	7	0.577381	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UCG-009	0.00000000	0.00014121	0.00014121	0	5	0.239458	0.906929
genus	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured	0.00000994	0.00015085	0.00014091	1	3	0.664732	0.906929
genus	d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;__	0.00000249	0.00013961	0.00013712	1	2	0.820413	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea	0.00017307	0.00003675	-0.00013632	2	4	0.702613	0.906929
genus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.00000000	0.00013150	0.00013150	0	4	0.347726	0.906929
genus	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__vadinBE97;g__vadinBE97	0.00000000	0.00012525	0.00012525	0	1	0.820413	0.906929
genus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus	0.00011807	0.00000000	-0.00011807	1	0	0.804405	0.906929
